127.0.0.1 - - [09/Dec/2017:12:05:34 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:35 -0500] "GET /AMSServices/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/metisMenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/pe-7-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/pe-7-icons-helper.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/tether-shepherd.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/jstree-default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/ng-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/authentication.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/css/discussions.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/masonry.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/pace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/angular.min1.3.7.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/ui-bootstrap-tpls.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/tether.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/tether-shepherd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/angular-debounce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/ng-common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/ng-google-maps.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/app-kit-tour.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/ng-table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/lib/ng-table-fix.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addassetDetailsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addassetModelController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addassetStateController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addassetTypeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addcategoryController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addorganizationDepartmentsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addorganizationDetailsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addorgBranchDetailsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/adduserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addvendorController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addworkStationController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/addsoftwareController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/logincontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/js/ng-app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:42 -0500] "GET /AMSClient/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "POST /AMSServices//login/verifyLogin HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSClient/views/assetTypes.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSClient/views/headermenu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSClient/assets/tpl/app-kit-module.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSServices//assettype/list HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSServices//assettype/list HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSClient/views/leftpanel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSClient/assets/fonts/ElegantIcons.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSServices//category/list HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:05:57 -0500] "GET /AMSClient/assets/fonts/Pe-icon-7-stroke.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/metisMenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/pe-7-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/pe-7-icons-helper.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/tether-shepherd.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/jstree-default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/ng-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/authentication.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/css/discussions.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/js/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:52 -0500] "GET /AMSClient/assets/js/lib/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/masonry.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/pace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/angular.min1.3.7.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/ui-bootstrap-tpls.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/tether.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/tether-shepherd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/angular-debounce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/ng-common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/ng-google-maps.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/app-kit-tour.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/ng-table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/lib/ng-table-fix.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addassetDetailsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addassetModelController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addassetStateController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addassetTypeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addcategoryController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addorganizationDepartmentsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addorganizationDetailsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addorgBranchDetailsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/adduserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addvendorController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addworkStationController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/addsoftwareController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/logincontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/js/ng-app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/views/assetTypes.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/views/headermenu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/tpl/app-kit-module.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSServices//assettype/list HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSServices//assettype/list HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/views/leftpanel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSServices//category/list HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [09/Dec/2017:12:15:53 -0500] "GET /AMSClient/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
