127.0.0.1 - - [07/Feb/2018:20:18:39 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:40 -0500] "GET /AMSServices/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/ HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/metisMenu.css HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/elegant-icons.css HTTP/1.1" 200 25337
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/font-awesome.css HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/pe-7-icons-helper.css HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/pe-7-icons.css HTTP/1.1" 200 9742
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/tether-shepherd.css HTTP/1.1" 200 12282
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/jstree-default.css HTTP/1.1" 200 30959
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/styles.css HTTP/1.1" 200 163033
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/ng-table.css HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/authentication.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/js/lib/angular.js HTTP/1.1" 200 1174125
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/css/discussions.css HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/js/lib/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:18:48 -0500] "GET /AMSClient/assets/js/lib/jquery.js HTTP/1.1" 200 257551
